first,second,third,freq
house,professor,snape,62
professor,snape,talking,62
professor,snape,set,62
course,professor,mcgonagall,62
fact,professor,snape,62
magical,creatures,teacher,62
knew,professor,dumbledore,62
professor,would,like,62
professor,snape,mr,62
professor,malfoy,said,62
professor,mcgonagall,brought,62
since,professor,dumbledore,62
hermione,professor,dumbledore,62
professor,snape,trying,62
professor,lupin,could,62
yes,professor,umbridge,62
professor,mcgonagall,answered,62
professor,mcgonagall,walking,62
mcgonagall,head,gryffindor,61
professor,shook,head,61
professor,harry,began,61
call,professor,mcgonagall,61
professor,sprout,told,61
professor,lupin,class,61
professor,snape,sneered,61
professor,dumbledore,snape,61
professor,sprout,came,61
professor,mcgonagall,get,61
oh,yes,professor,61
professor,mcgonagall,finally,61
professor,snape,gone,61
professor,mcgonagall,telling,61
first,years,professor,61
though,professor,snape,61
professor,snape,way,61
professor,robert,langdon,61
robert,langdon,harvard,61
langdon,harvard,university,61
thanks,professor,said,60
professor,snape,wo,60
potter,professor,dumbledore,60
behind,professor,snape,60
hogwarts,professor,snape,60
moment,professor,snape,60
year,professor,snape,60
professor,mcgonagall,caught,60
professor,mcgonagall,deputy,60
last,night,professor,60
professor,snape,tried,60
potions,professor,slughorn,60
mcgonagall,stepped,forward,60
much,professor,snape,60
since,professor,mcgonagall,60
professor,snape,put,59
professor,dumbledore,found,59
meet,professor,snape,59
professor,mcgonagall,class,59
professor,muggle,studies,59
professor,snape,look,59
professor,snape,able,59
due,respect,professor,59
professor,harry,answered,59
along,professor,mcgonagall,59
please,professor,mcgonagall,59
snape,harry,said,59
day,professor,snape,59
turned,professor,snape,59
flitwick,professor,mcgonagall,59
replied,professor,mcgonagall,59
professor,dumbledore,responded,59
father,professor,snape,58
harry,james,potter,58
professor,snape,severus,58
believe,professor,dumbledore,58
met,professor,snape,58
professor,dumbledore,see,58
go,find,professor,58
thanks,professor,harry,58
well,said,professor,58
professor,dumbledore,given,58
professor,snape,making,58
new,defence,professor,58
professor,mcgonagall,strode,58
yes,said,professor,58
professor,mcgonagall,see,58
professor,neville,longbottom,58
soon,professor,mcgonagall,58
professor,snape,father,58
two,years,ago,58
professor,mcgonagall,handed,58
end,last,year,58
head,ravenclaw,house,58
never,seen,professor,57
harry,shook,head,57
professor,moody,said,57
turned,around,see,57
professor,said,softly,57
professor,snape,started,57
mr,potter,mr,57
professor,snape,done,57
professor,mcgonagall,mr,57
well,see,professor,57
professor,snape,raised,57
left,great,hall,57
let,professor,mcgonagall,57
headmaster,hogwarts,school,57
post,defense,dark,57
professor,dumbledore,explained,57
afternoon,professor,umbridge,57
professor,dumbledore,mcgonagall,57
professor,mcgonagall,talking,56
ron,hermione,professor,56
called,professor,snape,56
way,professor,dumbledore,56
professor,mcgonagall,gasped,56
professor,mcgonagall,please,56
professor,mcgonagall,way,56
professor,mcgonagall,always,56
believe,professor,mcgonagall,56
professor,snape,agreed,56
professor,dumbledore,turned,56
next,professor,snape,56
go,tell,professor,56
class,professor,flitwick,56
professor,snape,kept,56
later,professor,snape,56
report,professor,mcgonagall,56
hermione,looked,professor,56
except,professor,snape,56
